chunk,rows_before,rows_after,male_pct,female_pct
0,200000,190001,0.5462497565802286,0.3197667380697996
1,200000,139312,0.5804022625473757,0.3499267830481222
2,200000,182440,0.5560403420302565,0.4008495943871958
3,200000,166549,0.5922761469597536,0.33154206870050257
4,200000,177023,0.56835552442338,0.36002101421849136
5,200000,149983,0.5142316129161305,0.3226098957881893
6,200000,96897,0.571338637935127,0.3679474080724893
7,200000,164895,0.5747293732375148,0.36746414384911613
8,200000,165528,0.5762529602242521,0.36065197428833795
9,200000,183824,0.6007104621812168,0.3495843850639742
10,200000,112657,0.6075965097597131,0.3432809323876901
11,200000,141345,0.5913049630337118,0.34257313665145567
12,200000,186053,0.5745405878969971,0.33830682654942407
13,200000,166070,0.5964292165954116,0.3221111579454447
14,200000,190874,0.594470697947337,0.3603686201368442
15,200000,149566,0.5609429950657235,0.3101841327574449
16,200000,149012,0.5918181086087027,0.34478431267280485
17,200000,157118,0.5929492483356458,0.35266487608039815
18,200000,150234,0.5685064632506623,0.3570030752026838
19,200000,119427,0.5852696626391017,0.3759953779296139
20,200000,150235,0.5751921988884081,0.34549206243551767
21,200000,143837,0.603898857734797,0.33633905045294327
22,200000,193588,0.5828047193007831,0.3559414839762795
23,200000,186646,0.5628140972750555,0.37300558276094853
24,200000,170915,0.5727291343650353,0.3300880554661674
25,200000,188667,0.6058876221066747,0.35614601387630057
26,200000,178328,0.5874680364272576,0.3537918891032255
27,200000,170009,0.6066149439147339,0.3208771300342923
28,200000,167579,0.5974495611025248,0.3408780336438337
29,200000,170046,0.5908518871364219,0.33693235947919975
30,200000,170849,0.5824617059508689,0.3754075236027135
31,200000,179175,0.5736347146644342,0.362366401562718
32,200000,141933,0.5751657472187581,0.3722671964941205
33,200000,180079,0.5285402517783861,0.34846372980747337
34,200000,199332,0.6048251158870628,0.33192864166315494
35,200000,184764,0.5248695633348488,0.35128055248858003
36,200000,170101,0.512178058917937,0.28761147788666735
37,200000,164120,0.5717584694126249,0.3398549841579332
38,200000,188310,0.5984652965854177,0.30238967659710053
39,200000,170468,0.5918119529765117,0.34837036863223597
40,200000,179396,0.5833351914200986,0.3690829226961582
41,200000,165949,0.4996294042145478,0.30022476785036367
42,200000,170475,0.5773691157061153,0.3658307669746297
43,200000,188852,0.5526338084849511,0.34540804439455236
44,200000,189060,0.5731143552311435,0.34902676399026766
45,200000,187346,0.5658887833207007,0.34935360242545876
46,200000,195987,0.5692928612612062,0.34497696275773393
47,200000,192223,0.6778897426426598,0.2334163965810543
48,200000,192938,0.585778851237185,0.2962713410525661
49,200000,187290,0.5720006407176037,0.3203908377382669
50,200000,185529,0.57200761067003,0.3278193705566246
51,200000,192784,0.5783156278529339,0.34494563864221095
52,200000,177798,0.5430601019134074,0.4086097706385899
53,200000,160740,0.5705673758865248,0.3525693666791091
54,200000,151752,0.558813063419263,0.3748747957193315
55,200000,174942,0.5809125310102777,0.3570783459660916
56,200000,164366,0.5553155762140589,0.38038888821289074
57,175377,166779,0.5763255565748685,0.34717800202663407
